subjectID;age;sex;parentality;babyID_ref;babyID_stim;stim;rank;delay_training_testing_h;nationality;real_baby_status;rated_baby_status;rated_baby_status_binom
Pdad06;37;male;parent;JOL;ROM;ROM_D1;14;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;ROM;ROM_D3;15;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;ROM;ROM_D4;16;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;DUH;DUH_D2;17;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;JOL;JOL_D4;18;5;Ireland;familiar;unknown;0
Pdad06;37;male;parent;JOL;MAJ;MAJ_D3;19;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;DUH;DUH_D4;20;5;Ireland;unknown;familiar;1
Pdad06;37;male;parent;JOL;DUH;DUH_D4;21;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;ROM;ROM_D1;22;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;JOL;JOL_D2;23;5;Ireland;familiar;unknown;0
Pdad06;37;male;parent;JOL;CAE;CAE_D1;24;5;Ireland;unknown;familiar;1
Pdad06;37;male;parent;JOL;ROM;ROM_D4;25;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;MAJ;MAJ_D3;26;5;Ireland;unknown;familiar;1
Pdad06;37;male;parent;JOL;ROM;ROM_D2;27;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;ROM;ROM_D3;28;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;CAE;CAE_D3;29;5;Ireland;unknown;familiar;1
Pdad06;37;male;parent;JOL;CAE;CAE_D2;30;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;JOL;JOL_D1;31;5;Ireland;familiar;familiar;1
Pdad06;37;male;parent;JOL;MAJ;MAJ_D4;32;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;MAJ;MAJ_D1;33;5;Ireland;unknown;familiar;1
Pdad06;37;male;parent;JOL;JOL;JOL_D4;34;5;Ireland;familiar;familiar;1
Pdad06;37;male;parent;JOL;CAE;CAE_D4;35;5;Ireland;unknown;familiar;1
Pdad06;37;male;parent;JOL;MAJ;MAJ_D2;36;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;DUH;DUH_D2;37;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;DUH;DUH_D3;38;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;JOL;JOL_D3;39;5;Ireland;familiar;familiar;1
Pdad06;37;male;parent;JOL;DUH;DUH_D1;40;5;Ireland;unknown;unknown;0
Pdad07;35;male;parent;CAA;RAP;RAP_D3;1;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;CHE;CHE_D1;2;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;GAP;GAP_D3;3;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;ZEP;ZEP_D4;4;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;ZEP;ZEP_D1;5;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;CAA;CAA_D2;6;5.1;France;familiar;familiar;1
Pdad07;35;male;parent;CAA;CAA;CAA_D4;7;5.1;France;familiar;unknown;0
Pdad07;35;male;parent;CAA;RAP;RAP_D4;8;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;CHE;CHE_D2;9;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;ZEP;ZEP_D3;10;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;CAA;CAA_D1;11;5.1;France;familiar;familiar;1
Pdad07;35;male;parent;CAA;GAP;GAP_D1;12;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;GAP;GAP_D4;13;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;CAA;CAA_D3;14;5.1;France;familiar;unknown;0
Pdad07;35;male;parent;CAA;CHE;CHE_D4;15;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;ZEP;ZEP_D2;16;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;GAP;GAP_D2;17;5.1;France;unknown;familiar;1
Pdad07;35;male;parent;CAA;RAP;RAP_D2;18;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;RAP;RAP_D1;19;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;CHE;CHE_D3;20;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;GAP;GAP_D3;21;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;ZEP;ZEP_D2;22;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;CAA;CAA_D1;23;5.1;France;familiar;familiar;1
Pdad07;35;male;parent;CAA;ZEP;ZEP_D1;24;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;CHE;CHE_D4;25;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;RAP;RAP_D4;26;5.1;France;unknown;familiar;1
Pdad07;35;male;parent;CAA;GAP;GAP_D1;27;5.1;France;unknown;familiar;1
Pdad07;35;male;parent;CAA;CHE;CHE_D2;28;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;RAP;RAP_D2;29;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;RAP;RAP_D1;30;5.1;France;unknown;familiar;1
Pdad07;35;male;parent;CAA;ZEP;ZEP_D3;31;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;CHE;CHE_D3;32;5.1;France;unknown;unknown;0
Pdad07;35;male;parent;CAA;CAA;CAA_D3;33;5.1;France;familiar;unknown;0
